"Data","Sex","method","cod","result"
"BR1","m","BH1","2907",0.533127720209669
"BR1","m","BH1","3101",0.513319634607682
"BR1","m","BH1","3102",0.587965692213152
"BR1","m","BH1","3103",0.574522982265395
"BR1","m","BH1","3104",0.678823596823806
"BR1","m","BH1","3105",0.776259190905584
"BR1","m","BH1","3106",0.726778690722938
"BR1","m","BH1","3107",0.939637456102934
"BR1","m","BH1","3108",0.695540423627048
"BR1","m","BH1","3109",0.830828166563692
"BR1","m","BH1","3110",0.846551134794808
"BR1","m","BH1","3111",0.787905430024684
"BR1","m","BH1","3112",0.754925422293071
"BR1","m","BH1","3201",0.588534030920503
"BR1","m","BH1","3202",0.731109352064335
"BR1","m","BH1","3203",1.02617405757383
"BR1","m","BH1","3204",0.858581169375006
"BR1","m","BH1","3301",1.07262445458629
"BR1","m","BH1","3302",0.950155684376738
"BR1","m","BH1","3303",0.975675302970167
"BR1","m","BH1","3304",1.07746646452078
"BR1","m","BH1","3305",0.886562927469076
"BR1","m","BH1","3306",0.809288955789981
"BR1","m","BH1","3501",0.872204025615435
"BR1","m","BH1","3502",0.994706319274087
"BR1","m","BH1","3503",0.801937194337507
"BR1","m","BH1","3504",0.980458154696203
"BR1","m","BH1","3505",0.998521782031997
"BR1","m","BH1","3506",0.978531251738986
"BR1","m","BH1","3507",0.988164027796979
"BR1","m","BH1","3508",0.716519206376603
"BR1","m","BH1","3509",0.807916395747767
"BR1","m","BH1","3510",0.929209637423974
"BR1","m","BH1","3511",0.979405972809666
"BR1","m","BH1","3512",1.02654282296578
"BR1","m","BH1","3513",0.988322070007728
"BR1","m","BH1","3514",1.14611982793105
"BR1","m","BH1","3515",0.779737735615061
"BR1","m","BH1","4101",0.590181960682236
"BR1","m","BH1","4102",0.670128157156891
"BR1","m","BH1","4103",0.726872143066365
"BR1","m","BH1","4104",0.709868555020054
"BR1","m","BH1","4105",0.846035563417218
"BR1","m","BH1","4106",0.655758433301366
"BR1","m","BH1","4107",0.542517753965589
"BR1","m","BH1","4108",0.657019958931928
"BR1","m","BH1","4109",0.83402529625767
"BR1","m","BH1","4110",0.988776363484165
"BR1","m","BH1","4201",0.667996567130693
"BR1","m","BH1","4202",0.980444422176386
"BR1","m","BH1","4203",0.786797732307566
"BR1","m","BH1","4204",0.988234324091265
"BR1","m","BH1","4205",1.00070695771934
"BR1","m","BH1","4206",0.918507838728597
"BR1","m","BH1","4301",0.716561884293935
"BR1","m","BH1","4302",0.828881448298938
"BR1","m","BH1","4303",0.82312814960563
"BR1","m","BH1","4304",0.864384052057981
"BR1","m","BH1","4305",0.967741439430427
"BR1","m","BH1","4306",0.889338808424115
"BR1","m","BH1","4307",0.893874970408889
"BR1","m","BH1","5001",0.550949396906546
"BR1","m","BH1","5002",1.00092962419604
"BR1","m","BH1","5003",0.710625443952445
"BR1","m","BH1","5004",0.599937620278451
"BR1","m","BH1","5101",2.39560442836007
"BR1","m","BH1","5102",0.82427744716398
"BR1","m","BH1","5103",0.456469530141762
"BR1","m","BH1","5104",0.969556439979165
"BR1","m","BH1","5105",0.651851230011621
"BR1","m","BH1","5201",0.414138343044565
"BR1","m","BH1","5202",0.413601406800655
"BR1","m","BH1","5203",0.832664510808386
"BR1","m","BH1","5204",0.992675257809009
"BR1","m","BH1","5205",0.602812690469051
"BR1","m","BH1","5301",0.786988708108497
"BR1","m","BH2","1101",0.765774057111946
"BR1","m","BH2","1102",0.541808420261667
