UF	AGE	POP_80	DEATH_80	POP_91	DEATH_91	POP_00	DEATH_00	POP_10	DEATH_10	
87	16	10	11940	11	20315	16	29519	23	39930	20
114	16	15	9612	10	16437	22	28194	82	36543	95
141	16	20	7386	14	13130	38	24026	80	34046	101
168	16	25	5833	11	11025	18	20599	61	31171	91
195	16	30	4340	7	9185	31	17345	49	27068	75
222	16	35	4011	11	7493	20	14420	41	23214	66
249	16	40	3353	22	5537	30	11311	45	18839	69
276	16	45	2706	6	4493	24	8431	42	14774	72
303	16	50	2073	20	3423	35	5972	53	11706	78
330	16	55	1529	11	2537	24	4546	43	8462	65
357	16	60	1013	19	1932	37	3342	53	5694	55
384	16	65	998	29	1387	27	2440	69	4382	83
411	16	70	808	33	896	34	1562	61	2921	90
438	16	75	450	26	655	39	977	44	1851	77
465	16	80	154	26	686	70	1152	113	1813	133
7	17	0	13858	116	12482	182	13189	341	12038	203
34	17	1	51576	37	51016	51	55262	76	50086	45
61	17	5	57092	16	67132	26	68936	32	67070	41
88	17	10	50800	13	63935	12	70422	28	73785	33
115	17	15	41150	8	53331	34	68580	79	70724	99
142	17	20	30387	29	40978	46	57997	128	66400	167
169	17	25	24921	29	34871	49	46300	96	62448	230
196	17	30	21329	29	28889	74	41568	83	56784	172
223	17	35	18337	34	24763	69	36443	110	48335	170
250	17	40	17179	34	21369	79	30071	104	42919	205
277	17	45	13542	37	17638	77	25132	101	36444	209
304	17	50	11213	29	14913	77	20429	120	29635	241
331	17	55	8421	50	11971	87	16099	130	24421	220
358	17	60	6134	45	9214	112	13676	168	19275	269
385	17	65	5508	63	7344	135	10447	180	14903	305
412	17	70	3650	87	5071	131	7462	233	11453	357
439	17	75	1971	66	3301	114	4956	191	7658	312
466	17	80	666	58	2650	189	4838	383	8046	754
8	21	0	80576	820	72256	593	70303	1036	60521	1058
35	21	1	273502	216	295862	152	279968	243	261970	213
62	21	5	293914	65	382437	78	342893	97	343766	119
89	21	10	261723	56	342438	59	370005	126	367451	132
116	21	15	218924	87	267634	141	359138	289	343012	393
143	21	20	163565	129	203449	273	275754	392	326817	777
170	21	25	130590	137	163708	373	198802	304	293601	835
197	21	30	109238	115	137573	407	169994	353	245825	701
224	21	35	95227	115	119387	435	150904	389	197752	612
251	21	40	88721	147	103791	438	128062	379	173251	626
278	21	45	68454	153	83610	488	108369	452	147551	713
305	21	50	56452	168	71249	512	88702	474	123305	782
332	21	55	42728	204	56330	586	72616	548	103290	965
359	21	60	33350	223	45627	649	63131	686	84051	1036
386	21	65	32367	269	40515	641	50093	716	67114	1228
413	21	70	22288	309	28231	738	34625	766	51196	1405
440	21	75	12369	276	18217	759	24001	757	34466	1369
467	21	80	5176	233	14551	1171	25321	1308	36576	2682
9	22	0	39024	821	32237	264	29342	741	23908	449
36	22	1	140656	199	140295	59	124119	114	102331	61
63	22	5	158555	47	184608	27	153509	55	139027	47
90	22	10	147499	49	175344	35	176263	79	157981	70
117	22	15	125002	79	147650	58	174688	149	151945	191
144	22	20	84645	92	105730	79	136206	205	148966	332
171	22	25	64453	67	89054	116	100686	191	134984	347
198	22	30	54921	75	73101	111	90451	215	119947	324
225	22	35	46733	97	62591	125	82732	256	99900	318
252	22	40	41777	100	54867	131	70195	246	91166	352
279	22	45	33062	96	45230	161	58943	270	80771	379
306	22	50	29662	112	37763	190	49896	308	67688	456
333	22	55	23213	128	30434	221	40129	342	56415	568
360	22	60	17738	155	25943	261	35001	452	46866	613
387	22	65	17327	196	21838	283	26483	501	36603	660
414	22	70	12011	207	14809	351	20914	656	28635	805
441	22	75	7714	229	10795	419	14335	624	18940	849
468	22	80	3981	220	8989	613	14398	1186	22349	2086
10	23	0	88873	3194	78595	1878	78560	1979	64172	950
37	23	1	313413	496	343245	422	330229	355	264522	163
64	23	5	365793	131	421174	158	418274	174	354622	122
91	23	10	359502	101	396397	116	436882	187	431154	175
118	23	15	313166	216	338232	236	410675	508	425466	805
145	23	20	204383	298	269281	409	335481	733	406534	1217
172	23	25	160928	270	239874	427	273181	665	364393	1125
199	23	30	142644	291	185473	443	253668	792	319976	1030
226	23	35	118589	259	156422	449	232025	786	277797	1032
253	23	40	110954	287	141986	449	178005	782	258829	1167
280	23	45	82244	277	113024	440	149286	756	228511	1269
307	23	50	81195	348	99521	555	130805	885	173702	1273
