cod	sex	age	pop1	year1	pop2	year2	death
1504	f	50	12334	1980	14974	1991	43.76
1504	f	55	8669	1980	12341	1991	46.99
1504	f	60	7347	1980	10183	1991	54.51
1504	f	65	7676	1980	8542	1991	80.20
1504	f	70	5238	1980	6036	1991	103.26
1504	f	75	3317	1980	4853	1991	125.91
1504	f	80	1829	1980	4542	1991	226.90
1505	f	0	2178	1980	5010	1991	101.18
1505	f	1	7865	1980	20048	1991	28.27
1505	f	5	7862	1980	25413	1991	7.14
1505	f	10	6440	1980	22871	1991	4.98
1505	f	15	5561	1980	18007	1991	8.00
1505	f	20	4949	1980	15141	1991	9.43
1505	f	25	4072	1980	13213	1991	8.85
1505	f	30	2779	1980	11438	1991	9.36
1505	f	35	2184	1980	8475	1991	10.32
1505	f	40	1821	1980	6225	1991	10.38
1505	f	45	1235	1980	4536	1991	8.45
1505	f	50	978	1980	3733	1991	10.65
1505	f	55	733	1980	2606	1991	10.72
1505	f	60	487	1980	1858	1991	10.32
1505	f	65	356	1980	1204	1991	11.20
1505	f	70	188	1980	646	1991	10.90
1505	f	75	125	1980	420	1991	12.22
1505	f	80	60	1980	299	1991	17.41
1506	f	0	7343	1980	13106	1991	172.00
1506	f	1	25974	1980	52842	1991	46.17
1506	f	5	25775	1980	65629	1991	13.14
1506	f	10	21834	1980	60135	1991	9.95
1506	f	15	18575	1980	48185	1991	15.49
1506	f	20	16877	1980	40469	1991	18.05
1506	f	25	13986	1980	35003	1991	16.70
1506	f	30	10416	1980	28898	1991	18.11
1506	f	35	7867	1980	23100	1991	21.40
1506	f	40	6347	1980	17248	1991	21.48
1506	f	45	4481	1980	12411	1991	17.88
1506	f	50	3194	1980	9305	1991	21.01
1506	f	55	2063	1980	6812	1991	20.65
1506	f	60	1631	1980	4650	1991	20.52
1506	f	65	1270	1980	3200	1991	23.60
1506	f	70	802	1980	1942	1991	25.34
1506	f	75	467	1980	1376	1991	29.57
1506	f	80	222	1980	1076	1991	49.44
1601	f	0	413	1980	504	1991	2.99
1601	f	1	1305	1980	1793	1991	0.72
1601	f	5	1486	1980	2091	1991	0.22
1601	f	10	1183	1980	1699	1991	0.15
1601	f	15	852	1980	1156	1991	0.15
1601	f	20	669	1980	1038	1991	0.24
1601	f	25	500	1980	885	1991	0.13
1601	f	30	413	1980	735	1991	0.15
1601	f	35	352	1980	498	1991	0.25
1601	f	40	260	1980	410	1991	0.13
1601	f	45	247	1980	353	1991	0.21
1601	f	50	179	1980	261	1991	0.24
1601	f	55	134	1980	160	1991	0.17
1601	f	60	65	1980	153	1991	0.28
1601	f	65	126	1980	93	1991	0.34
1601	f	70	53	1980	95	1991	0.62
1601	f	75	62	1980	52	1991	0.53
1601	f	80	31	1980	49	1991	1.08
1602	f	0	3329	1980	4017	1991	103.74
1602	f	1	11770	1980	16068	1991	28.54
1602	f	5	12424	1980	20183	1991	8.71
1602	f	10	10892	1980	18627	1991	7.34
1602	f	15	9231	1980	15872	1991	7.95
1602	f	20	7368	1980	12443	1991	12.36
1602	f	25	5642	1980	10356	1991	7.40
1602	f	30	4097	1980	8520	1991	6.39
1602	f	35	3446	1980	6834	1991	14.39
